"word1","word2","n"
"outbreak","continues",12
"outbreak","infects",12
"outbreak","lockdown",12
"outbreak","markets",12
"outbreak","voice",12
"pandemic","game",12
"passengers","arriving",12
"patients","affected",12
"paul","tudor",12
"person","diagnosed",12
"person","familiar",12
"plans","nikkei",12
"positive","19",12
"precautionary","measures",12
"pregnant","women",12
"production","ramp",12
"prompted","concern",12
"quarantine","earlier",12
"quarantine","procedures",12
"rapid","construction",12
"ready","2,000",12
"recently","arrived",12
"reported","830",12
"reports","1,287",12
"reports","news",12
"resolute","efforts",12
"restrictions","amid",12
"returning","home",12
"reut.rs","2vra61e",12
"robot","equipped",12
"russia","hong",12
"sars","epidemic",12
"scale","activities",12
"schools","universities",12
"scott","gottlieb",12
"scrapped","amid",12
"searches","suddenly",12
"shanghai","reports",12
"singapore","thailand",12
"slowed","china's",12
"students","returning",12
"suddenly","spike",12
"supervise","epidemic",12
"taiwan","south",12
"testing","woes",12
"threatens","asia's",12
"tourism","industry",12
"transport","ban",12
"travel","rush",12
"trib.al","fozxjmi",12
"trib.al","xcqp2wa",12
"tudor","jones",12
"u.s","stocks",12
"uk","foreign",12
"uk","patients",12
"united","airlines",12
"video","shared",12
"viral","disease",12
"virus","2168484",12
"virus","epicentre",12
"virus","searches",12
"wall","street",12
"warns","coronavirus",12
"warns","hospitals",12
"weekend","scrapped",12
"woes","slowed",12
"www.ft.com","content",12
"xhne.ws","8mzdw",12
"xhne.ws","fujd8",12
"xhne.ws","xun70",12
"you’re","planning",12
"1,600","medical",11
"admitting","patients",11
"advises","americans",11
"central","chinese",11
"charter","flight",11
"chief","executive",11
"china","beefs",11
"china","sends",11
"china's","jiangxi",11
"coronavirus","climbed",11
"coronavirus","coronavirusoutbreak",11
"coronavirus","follow",11
"coronavirus","originated",11
"coronavirus","outbreak’s",11
"executive","carrie",11
"fast","track",11
"fast","tracks",11
"including","beijing",11
"involving","people",11
"korea","thailand",11
"model","building",11
"national","research",11
"ndtvnewsbeeps","coronavirus",11
"outbreak","linked",11
"outbreak","originated",11
"outbreak","read",11
"people","die",11
"pneumonia","linked",11
"prevent","coronavirus",11
"quarantine","system",11
"shanghai","disney",11
"spread","halfway",11
"sri","lanka",11
"stop","spread",11
"symptoms","virus",11
"virus","wsjwhatsnow",11
"wuhan","ground",11
"xhne.ws","wptwu",11
"106","deaths",10
"15","cities",10
"1st","u.s",10
"2003","writes",10
"24x7","china",10
"57","million",10
"a9302091","html",10
"advising","americans",10
"affected","2168805",10
"affected","hundreds",10
"afp","chinavirus",10
"aid","hubei's",10
"air","india",10
"air","travel",10
"amid","deadly",10
"amid","global",10
"amid","growing",10
"amid","lockdown",10
"annual","human",10
"australia","considers",10
"biggest","luxury",10
"bird's","nest",10
"britain","prepares",10
"british","people",10
"britons","trapped",10
"canada","identifies",10
"cancels","major",10
"cancels","republicday",10
"caused","china",10
"cdcgov","novelcoronavirus",10
"central","texas",10
"chengdu","china",10
"china","15",10
"china","health",10
"china","sars",10
"china","steps",10
"china","stores",10
"china's","travel",10
"china’s","hubei",10
"chinese","citizens",10
"chinese","students",10
"chinese","travel",10
"citizens","caught",10
"cnb.cx","36xipra",10
"cnn's","jgriffiths",10
"columnist","dasha_reuters",10
"combined","population",10
"commission","vice",10
"common","cold",10
"condition","cdcgov",10
"confirms","139",10
"considers","evacuating",10
"coronavirus","air",10
"coronavirus","australia",10
"coronavirus","authorities",10
"coronavirus","emergency",10
"coronavirus","evacuation",10
"coronavirus","foreign",10
"coronavirus","prevention",10
"coronavirus","prompts",10
"coronavirus","snakes",10
"coronavirus","threat",10
"coronavirus","treatment",10
"country","killing",10
"crowds","cram",10
"daily","podcast",10
"dasha_reuters","explains",10
"declares","outbreak",10
"designated","hospital",10
"discussing","china",10
"economic","fallout",10
"evacuate","americans",10
"evacuating","citizens",10
"evacuation","begins",10
"financial","markets",10
"fourth","trial",10
"global","pandemic",10
"global","stock",10
"global","unity",10
"government","expert",10
"hardest","hit",10
"heathrow","airport",10
"hospital","amid",10
"hospital","dedicated",10
"hubei's","coronavirus",10
"huge","concern",10
"human","migration",10
"icu","ward",10
"india","jumbo",10
"issues","travel",10
"jan","21",10
"japan","taiwan",10
"jgriffiths","analysis",10
"jumbo","plane",10
"kerala","nurse",10
"killed","26",10
"killed","dozens",10
"korea","taiwan",10
"leave","wuhan",10
"lessons","learned",10
"lethal","sars",10
"lockdown","utm_term",10
"luxury","brands",10
"ma","xiaowei",10
"major","test",10
"mask","shortage",10
"masks","lined",10
"masks","medicines",10
"media","reported",10
"medical","mask",10
"medical","supply",10
"medicines","amid",10
"ministers","refuse",10
"multiple","countries",10
"nest","stadium",10
"news","uk",10
"novelcoronavirus","2019ncov",10
"officials","hold",10
"officials","warned",10
"outbreak","chinese",10
"outbreak","update",10
"outbreak","utm_term",10
"panicked","crowds",10
"patel","symptoms",10
"pathogen's","global",10
"people","officials",10
"people","priti",10
"people","tested",10
"plane","ready",10
"pod","podcast",10
"politics","coronavirus",10
"president","donald",10
"pressure","grows",10
"pti","coronavirusoutbreak",10
"reaches","europe",10
"recently","returned",10
"residents","react",10
"residents","stock",10
"reut.rs","2uitcqc",10
"reut.rs","36cqohl",10
"running","low",10
"scheme","run",10
"secretary","matt",10
"severe","coronavirus",10
"sharp","rise",10
